index,sentences,abuse,sentiment,offensiveness
6324,그림미화 ㅋㅋㅋㅋㅋ,NON,POS,NOT
6325,"댓글러들아, 저 사람들 저렇게 살겠다는데 왠 오지랖이냐?  조선의 DNA 는 참 끈질기다.",NON,NEG,LIKELY
6326,잔잔하게 재미있고 감동도있네요. 일본판으로본건 행운인듯,NON,POS,NOT
6327,태진아. 왜 나오냐????,NON,NEG,LIKELY
6328,젓딧은 릴보이 개좋아하노,NON,NEU,NOT
6329,삶이.. 좆같다 ,ABS,NEG,LIKELY
6330,아니 빠심거르고 ㄹㅇ 희애좌가 대상인데,NON,NEU,NOT
6331,ㄴ 애미한테 딸치다걸려서하는말,ABS,NEG,OFFEN
6332,솔직히 민주 폭삭 망해버렸으면 좋겠음....,NON,NEU,LIKELY
6333,롤렉스  광고를 대놓고하는거냐,NON,NEU,NOT
6334,윤정원 저여자...,NON,NEG,NOT
6335,에이아이 댑스 에이콘 최고최고  입니다,NON,POS,NOT
6336,좆본 코로나..... 상황 ㄷㄷ....,ABS,NEU,LIKELY
6337,진짜 어떤 생각 없고 수준 낮은 놈이 자막 만드는 거냐;,NON,NEG,LIKELY
6338,만족합니다 색상 이쁘고 착색 잘되고 오래가서 좋아요,NON,POS,NOT
6339,박자감 ㅆㅅㅌ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,NON,NEU,NOT
6340,"노무현도 운지하기 직전에 ""국산""담배 에쎄폈다 ",ABS,NEG,LIKELY
6341,포도는 새콤달콤 캠벨포도가 최고샤인은 달아서 노노,NON,NEU,NOT
6342,ㄱ ㅐ모란??   문죄앙???    머하는가???    어서  주뎅이를  놀려보거라...............!,NON,NEG,LIKELY
6343,환갑 잼민이특) 존나투표함,ABS,NEG,NOT
6344,념글에 빈지노가 도대체 왜 원탑 글 뭐냐ㅋㅋㅋㅋㅋㅋ,NON,NEU,NOT
6345,오늘오후38도던데~동마다 다를수있겠죵ㅎㅎ대프리카시작..,NON,POS,NOT
6346,쓸데 없는 보고서 만 없애도 워라벨 달성이지,NON,NEU,NOT
6347,노무현 대통령 성희롱하는 놈들 재기해,ABS,NEU,LIKELY
6348,방과후에 나머지공부 시킬 생각말고 그 돈으로 애들한테 레고나 사줘라,NON,NEG,NOT
6349,ㅋㅋ 얘 좀 호감아님?,ABS,POS,NOT
6350,잔-인 하지만 재밌다,NON,POS,NOT
6351,고딩아들 승리의 순간 온몸을 부들부들 떨며 뛰쳐나옴~ 눈물까지 보임. 인생경기라고~~~ 나는 티비서 안해서 그걸못봄,NON,POS,NOT
6352,나름 재미있었어요^^..공감가는 부분도 꽤 있었고,NON,POS,NOT
6353,바벌 아ㅏ아아아ㅏ~ 거릴 때 다른 래퍼들 반응.txt,ABS,NEU,NOT
6354,동농 틀어달라고 ㅅㅂㅋㅋ,ABS,NEU,LIKELY
6355,견미리 ‘부부의 세계’ 김희애 연기 너무 잘해,NON,POS,NOT
6356,아르르르 존나웃기네,ABS,NEU,NOT
6357,겜블은 미칠수록 재미있죠 자 도박에 미쳐봅시다!!,NON,POS,NOT
6358,아이유 ㅈㄴ기여어,ABS,POS,NOT
6359,심플하고 깔끔해서 좋네요. 사용전이지만 벨킨을 신뢰합니다.,NON,POS,NOT
6360,존나 끄네 진짜,ABS,NEU,LIKELY
6361,걸그룹 ...... 과거사진 레전드 ㅜㅗㅑ.....,NON,NEU,NOT
6362,사진이 기사내용과 관련 있는데??,NON,NEU,NOT
6363,근데 명빵이 씹덕겜이 맞는지 아닌지 ㅈㄴ 헷갈리지 않냐 ㅋㅋㅋㅋㅋㅋ,ABS,NEU,NOT
6364,별로 행복하지않은데 오래 살아야 할까,NON,NEU,NOT
6365,너네는 스스로 감염자 조작한다고 시인하는구나그래 맞아. 너 네가 조작하는거 알만한 국민은 다 알아 조중동 기레기 기사 ! 기자~~~너네는 다녀도없니 자기부모가. 기레기인줄알면자녀들이 기가막힐것이다 역사가 심판할꺼다,NON,NEG,LIKELY
6366,접종소외계층에 외국인근로자 유학생이면   나는 무슨계층이냐? 43살에 세금꼬박꼬박내는 근로자인데..?!?!,NON,NEG,NOT
6367,넷플 탈퇴했어 광고해도 이젠 바이~~,NON,NEU,NOT
6368,편의점앞인데 편의점론되시는분,NON,NEU,NOT
6369,아아아아아아ㅏㅏㅏㅏ vs 얍. 얍얍 뭐가 더 충격이었냐,NON,NEU,NOT
6370,똑같은걸 왜 방송3사가 같이 방송하는지 정말 이해안된다  돌아가면서 방송해도 될걸  ...  kbs수신료도 받으면서 뭔광고를 그렇게 많이하는지  인기있는종목 2티비에서 광고때문에 방송하다보니  경기도 다 못보여주고  넘어가고 난리도 아니고  방송국프로들이 노후되서  젊은 사람들은 kbs 보지도않음 봐라 이번에  중계방송도 꼴찌인거같던데..  돌아가면서 방송해라 시청률 나눠먹지말고,NON,NEG,NOT
6371,스가 피아노를 왜치노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ABS,NEU,NOT
6372,좆찐따들 ㅋㅋㅋ,ABS,NEG,OFFEN
6373,자꾸 누워있으니 빙시같이 시간만가네 ,ABS,NEG,LIKELY
6374,"거지말,구라청,햇빛쨍쨍",ABS,NEG,LIKELY
6375,일을 많이하는게 아니라 뻘짓들로 시간때우기만 한다,NON,NEG,NOT
6376,ㄹㅇ 감스트 염보랑 축구컨텐츠는 불가능하겠네,NON,NEU,NOT
6377,카톡테러용 귀신짤 10개 엄선작들,ABS,NEU,NOT
6378,아침부터 달린다,NON,NEU,NOT
6379, 타임특가로 싸게 잘 샀습니다 색상 마음에 들어요,NON,POS,NOT
6380,찾으면 다 나옴,NON,NEU,NOT
6381,짤녀 존나 이쁘네 시발...,ABS,POS,LIKELY
6382,습기를 머금어 후덥지근해도 소나기가 온다니 반갑다. 비가 너무 안왔어!,NON,POS,NOT
6383,"기사들이 언제는 60프로 예방된다했다 이랬다 저랬다 하니, 믿음이 안 가요.",NON,NEG,NOT
6384,원슈타인 박자타는거 뭐냐 ㄷㄷ,NON,POS,NOT
6385,애혀 병. 신새끼들아,ABS,NEG,LIKELY
6386,민서공이님 화이팅,NON,POS,NOT
6387,비구니누나 눈 ㅈㄴ이쁘네 ㅋㅋㅋㅋㅋㅋ,ABS,POS,LIKELY
6388,하 ㅅㅂ 존나슬프다,ABS,NEG,LIKELY
6389,소신발언)안병웅 bartoon 24 좋았음,NON,POS,NOT
6390,이렇게 무서운 코비  근데 사람들은 왜 우섭게 보는지이해불가  옛날 문둥병 올대는 그냥줄해랑 첫는데,NON,NEU,NOT
6391,한성천의 포텐을 볼수있다.,NON,POS,NOT
6392,카포 하나시켰는데 무배에 맛있는 간식에 피크까지 챙겨주시고 황송합니다 번창하시길..,NON,POS,NOT
6393,저개새끼땜에내가목죽는건데 ,ABS,NEG,OFFEN
6394,다들 나한테 오늘 호의는 다 경계함?? ,NON,NEU,NOT
6395,바벌사 풀버전 ㅈㄴ웃기네 ㅋㅋ,ABS,POS,NOT
6396,@@증명사진 찍을건데 어케할지 추천점@@ ,NON,NEU,NOT
6397,소유 존내 귀엽네 시팔년 ,ABS,NEG,LIKELY
6398,정말 재밋어요 ㅠㅠ,NON,POS,NOT
6399,트럼프 운지 확정,ABS,NEG,LIKELY
6400,만들어놓은 치료제도 신약 승인 안해주는데...뭐 개발 속도를 낸다고 기가찬다!,NON,NEG,NOT
6401,가운데 색상 3호 매혹적입니다.쩅한 느낌의 색상 입술에 발색 하면 무난한 정도인 것 같아요 데일리템ㅇ로 좋아요,NON,POS,NOT
6402,우리 대한민국 정말 자랑스럽다,NON,POS,NOT
6403,별의별 이유로 싸우넼ㅋ,NON,NEU,NOT
6404,대박대박.. ㅠ 생각지못한 반전..,NON,POS,NOT
6405,우리는 당신을 사랑합니다. 우리는 사우디 아라비아 출신입니다.,NON,POS,NOT
6406,나능좋은데 ㅋ 3번봐도 초반전쟁씬 전반내용을 이해못하겠엌 영화는 좋음,NON,POS,NOT
6407,야붕이 아침부터 헬스왔다,ABS,NEU,NOT
6408,겉은 감동적인 스포츠영화지면 그 이면에는 이상적인 로맨스 영화,NON,POS,NOT
6409,씨발침대밑에안경들어갔믄데 무서워서못꺼냄 ,ABS,NEG,LIKELY
6410,지금 그거임 봉퀴들이 발작하는거,ABS,NEG,LIKELY
6411,"정말 타락한 세상입니다. 캐나다에서는 학생들이 동성애를 드러내놓고 합니다. 물론 동성 결혼도 합법이죠.그리고 하나님 믿으라고 전도도 마음대로 할 수 없게 되었고 성경을 진리로 받아들이지 않습니다. 캐나다만 이렇겠습니까? 미국, 영국등 많은 나라가 이렇습니다. 대만도 동성 결혼이 합법화 되었습니다. 이것은 소돔과 고모라 훨씬 이상가는 타락을 보여 주죠. 소돔과 고모라를 불과 유황으로 잿더미가 되게 하신 살아계시는 하나님께서 이제 조만간 종말 심판을 하실 것입니다. 모든 것이 다 준비 되었죠. 이제 전세계적인 전쟁이 일어나고ㅡ답글로ㅡ",NON,NEU,NOT
6412,"저런,인형 저장한 새끼도 약간 정신이상있을것같지 않냐?",ABS,NEU,LIKELY
6413,물개 강동원 고수 현빈 개좆쳐바르는 존잘임 ㄹㅇ ,ABS,NEG,LIKELY
6414,여배우의 큰 눈에 정말 많은걸 담고 있네요,NON,POS,NOT
6415,"대학생때 부모님식당에서 일하다가 습진이생겼는데10년이지난지금도 지긋지긋하게 완치가안됩니다.여름은 한포진,겨울은 다갈라져요. 손톱은변형이왔고 출산후에는 면역력떨어져서 열손가락에 한포진이 확퍼지더니 가만이있어도 간지럽고아프고 진물이나서 아기안지도못했네요. 지금도 머리감을땐 비닐장갑꼭끼고하고 설거지는 면장갑위에고무장갑껴야해요.초장에 잡으세요. 완치안됩니다ㅜ",NON,NEU,NOT
6416,과연 발기부전일까?,NON,NEU,NOT
6417,그냥 녹차 홍차 드세요   ᆢ,NON,NEU,NOT
6418,0:26이건 개 심했네 ㅉ,ABS,NEG,NOT
6419,비온다더니 고속도로 타니 특정구역만 앞이안보일 정도로 미친듯이 오고 또 조금가면 뚝 그치고 한다,NON,NEU,NOT
6420,재밌습니다. 뭐 물론 한글화가 되어 있지 않아서 힘드실 수 있습니다. 그건 감안하시기 바랍니다. 공포게임으로 보자면 솔직히 그렇게까지 좋은 게임은 아니었습니다. 그러나 심리학적인 관점에서 보면 상당히 잘 만든 수작 게임이었습니다.,NON,POS,NOT
6421,원작을 망치다니 ㅅㅂ,ABS,NEG,OFFEN
6422,늙은년들 겨우 갤에 념올릴때,ABS,NEU,OFFEN
6423,나 학원다닐때도 중간에 독재로 탈주한새끼들 ,ABS,NEG,OFFEN
6424,친구랑 나랑 존나비교됨,ABS,NEG,LIKELY
6425,여친사귀는 찐이 있노 컨셉종자년아 ㅋㅋㅋㅋㅋ,ABS,NEU,OFFEN
6426,시발 네시에 자겠네,ABS,NEG,LIKELY
6427,이렇게 방탄소년단이 매우 인기를 얻어서 성장하고 있지만 다른 아이돌도 많이 알려졌으면 하는 마음이 드네요 앞으로도 많은 활동으로 해외에서도 인기를 얻는 가수들이 많아졌으면 좋겠습니다!,NON,POS,NOT
6428,갓양남vs한남충 자지비교,ABS,NEG,LIKELY
6429,MBC가 하도 막장이다 보니 MBC보다가 KBS보면 TV조선이라도 보는 듯한 착각이...,NON,NEG,NOT
6430,0:25,NON,NEU,NOT
6431,손으로 콧구멍 파봐라.어디 손가락이 시원하나?남편 발기력 좋으면 누가 좋겠냐?,NON,NEG,LIKELY
6432,먹고살기 힘드냐?,NON,NEU,LIKELY
6433,한심한것들,NON,NEG,NOT
6434,근데 가오가이는 금방 식상해졌는데 왜 뽑은거임?,NON,NEU,NOT
6435,씨발련들아 오늘 시험인데 응원좀 해봐라 ,ABS,NEG,OFFEN
6436,자지마!!!!!!이개새끼들아!!!!!!!!!!!!,ABS,NEG,OFFEN
6437,"그저 닭을 건강식품, 보양식으로만 알고 있었고 왜 건강에 좋은지에 대해서는 잘 모르고 있었습니다. 그런데 이 기사를 보고나서 피부염 예방에도 도움이 되고 단백질이 풍부한 음식이라는 것을 알게되었습니다. 좋은 정보 알려주셔서 감사합니다.",NON,POS,NOT
6438,"기간 3고~ 글라스로드중 투피스는 몇안되는데 품질도 좋고 보증제도도 아주 마음에 듭니다 손목에 무리도 덜오고 스베.크랑크,바이브 다운용하기 좋네요~사장님이 서비스도 챙겨주시고좋습니다~사업 번창하세요~^^",NON,POS,NOT
6439,전통 코란도하고 이스타나 부활시켜라 승합차가  없다,NON,NEU,NOT
6440,아시발 알바 일어났네,ABS,NEG,LIKELY
6441,오늘자 쇼미 존나 사이다였던 부분 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ABS,NEU,NOT
6442,블루썬더의 프로펠러가 공기를 가르는 파장음이 너무 친근하게 다가온다,NON,POS,NOT
6443,떠나고 싶을때 떠나고 돌아오고 싶음 돌아오면 되지지들이 이나라 전세냈나,ABS,NEU,NOT
6444,저자식 어떻게 좀해주라. 하는소리마다 기분 더럽게 하네.,NON,NEG,OFFEN
6445,넘어가도 안될놈은 안됀다,NON,NEG,NOT
6446,이게 왜 안뜸??,NON,POS,NOT
6447,바이스 얘근데 인기는 많아졌지만 이때랩연습 ㅈㄴ해서,ABS,NEU,NOT
6448,"크기가 어마어마해요ㅎ 엄청 크고, 달콤새콤 너무 맛있어요~~ 날이 추워서 배송잘못될까 걱정했는데 상하지않고 안전하게 잘 도착했어요~~ 아들이 맛있다며 너무 잘먹어요^^",NON,POS,NOT
6449,야붕이 짝눈좀 봐주라..,NON,NEU,NOT
6450,첫날부터 파란색~,NON,POS,NOT
6451,지상파에서 안하길래 kbs스포츠 온에어로 보는데 나 볼때 얼핏 28만명이 넘었었던걸로 기억함ㄷㄷㄷ 축구나 야구가 더 대중적인 종목이라 이해는 하는데 결과만 놓고 보면 배구 경기가 너무 재밌어서 많은 사람들이 전 경기를 못 본게 아쉽ㅎ 쨌든 김연경 선수 너무 멋지더라😍 올림픽 마지막이라고 들었는데 끝까지 화이팅입니다. 여배팀 응원해요!,NON,POS,NOT
6452,맘들 이게 포르노책이지 성교육 이에요?? 하겟네,NON,NEG,LIKELY
6453,마 히야는 서윗한 남자라가 밤에 마누라 옆에 스근하이 누워가 귓볼 몇번 혀로 팅가주고 백허그해가 젖티 싹 쪼물라주면 그 날 아랫집 누수 되는 날 아이가,NON,NEU,LIKELY
6454,"특유의 투박한 디자인, 엠블럼 등 분골쇄신 안하면 절대 회생불가능이라 본다",NON,NEU,NOT
6455,페미니즘 관련 논문은 세세하고 종류도 넘칠뿐더러 쌓아온게 많은데 의미는 찾아볼 생각도 하지않고...  페미< 이 두글자에 발작해서ㄴ 어우 아니다~ 오조오억과 웅앵웅에 발작해서는 ㅋ 남성혐오표현 논문 꼴랑 1개로 버티는 꼴 넘 안타깝죠?ㅋㅠ ㅠㅠㅠ,NON,NEG,LIKELY
6456,앞으로 정숙이는 동병썅련이다 ,ABS,NEG,OFFEN
6457,당연히어렵지이런개ㅡ자슥아,ABS,NEG,OFFEN
6458,배고프네,NON,NEU,NOT
6459,솔직히 패나식 재능 없어서 못 뜬 거 아니냐?,ABS,NEG,LIKELY
6460,조순영 개잘해,ABS,POS,NOT
6461,구강성교원인일듯하네요,NON,NEU,NOT
6462,박자를 씨발 지 좆대로 타노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ABS,NEU,OFFEN
6463,탈주 ㅋㅋㅋㅋ,NON,NEU,NOT
6464,가끔은 좀 부럽다... 난 넘의 눈치 너무 보고사는데 얘는 잦풍당당하게 사니깐 ㄹㅇ..,ABS,NEU,LIKELY
6465,아니 일단 박보검은 존나 소고기 3000만원어치 사주고 싶게 생겼고 쟤는 걍 밥버거도 사주기 싫게 생김,ABS,NEG,OFFEN
6466,저스디스는 릴보이 ㅈㄴ 마음에 들어하는것 같음,ABS,POS,NOT
6467,릴보이 이새끼 특징.fact,ABS,NEU,NOT
6468,기리보이 성공한 본선무대들,NON,NEU,NOT
6469,씨발이거왜먹었지걍먹지말껄하내 ,ABS,NEG,LIKELY
6470,유튜브에 논란이라길래 한번 보러옴ㅋㅋ 보검씨랑 같은 학교나와서 실물영접 몇번했었음 ㅎㅎ 그냥 자랑임 그럼 이만,NON,NEU,NOT
6471,여자대통령 <- 이노래 존나 중독성 있음ㅋㅋㅋㅋ,ABS,POS,NOT
6472,노아주다 존나 잘했는데 왜,ABS,NEU,NOT
6473,내가 제일 좋아하는 영화임 진짜 재밌다♥♥,NON,POS,NOT
6474,"그들이 남긴 주작 증거들.남초 : 우리가 언제 숏컷 깠냐! 꼬리자르기중이라 증거 가져와드림https://m.cafe.daum.net/subdued20club/ReHf/3385239?svc=cafeapp,놀랍게도 현재 그남자들 ＞창조/억지＜ 논란의 시초는 이거임https://m.cafe.daum.net/Tlwkftlqkftlldlqkf/8vJr/255782",NON,POS,NOT
6475,완전 만족!!!!! 3중 케어라기에 뭘까하고 궁금했는데 ㅎㅎ 확실히 다르네요 브이라인에 팔자까지 확실히 잡히는 느낌이 나요 ㅋㅋㅋ 많이 파세요!!!,NON,POS,NOT
6476,마스크 왜 안쓰는지 이해가 안가네 독감예방 접종햤다고 독감 안걸리니..??,NON,NEG,NOT
6477,아 ㅆㅂ존나 배고파,ABS,NEG,LIKELY
6478,20대 후반인데 맨날 겜하고 5시간 미만으로 자다가 피곤해서 얼마전부터 7시간정도 자니까 다음날 하루종일 컨디션이 좋다,NON,NEU,NOT
6479,성교육에 임신과출산에대해서도 자세히 알려주고 신생아 키우기가 얼마나 어려운지도 자세히 교육해야함. 특히 남자애들한테 여자임신시키면 무조건 아이는 같이 책임지는것 제대로 교육시키는게 우선임,NON,NEG,NOT
6480,그리 해 봤자  민주당 쓰레기들   윤석열을  이길수가 없다  무섭지?,NON,NEG,LIKELY
6481,중국인은 그냥 사살시키는 법을 만들었음 좋겠다,NON,NEG,LIKELY
6482,한국 sf중에는 그나마 좋다.,NON,POS,NOT
6483, 색상 정말 예쁩니다 말 그대로 청순청순,NON,POS,NOT
6484,앰백새끼들 좆됐디 싶겠네ㅋㄱㅂ,ABS,NEU,OFFEN
6485,끼워 넣기 심하네 방탄 영상보고 좋아한  사람들이 대부분 다른 케이팝 아이돌 찾아보고 하는데 의존도?ㅋ,NON,NEG,NOT
6486,MBC 자막 누가 올리나 실명 밝혀야. . . ..이전 사장 김씨 친구인가?,NON,NEU,NOT
6487,에이콘 대박나길~~,NON,POS,NOT
6488,문재앙 정부는  계란값도  수박값도  못잡으면서  코로나 관리  부동산 관리한다고  저리 설친다  이미   아무 대책도 의지도없다   오직 북한뿐  저게  믄이  그토록  만들고싶은 나라다,NON,NEG,LIKELY
6489,아이린 제니 친하던데 제니야 손절해,NON,NEU,NOT
6490,성에 가이드라인이 있나? 올바른 성? 저자의 성관념이겠지,NON,NEU,NOT
6491,남편이 발기력 떨어졌으면 그냥 냅둬,ABS,NEG,NOT
6492,이러고도 시청료 인상할거냐 으이그,NON,NEG,NOT
6493,근데 ㄹㅇ 쥬지크기가 효과있는거맞음?,ABS,NEU,LIKELY
6494,여자 얼굴 보면 화장빨인지 아닌지 구분됨,NON,NEU,LIKELY
6495,"지금 다시 봐도 그럴진 모르겠지만, 당시에는 상당히 감동적이고 교훈적이 었음.",NON,POS,NOT
6496,못보신 분들은 꼭 보시길..,NON,POS,NOT
6497,김강우 캐릭터 호감가는 귀여운 캐릭터 ㅎ[나 이런감정처음이야] 명대사 김강우대사,NON,POS,NOT
6498,아 저스디스 고랩도 나왔으면 좋겠다 ㅋㅋ,NON,NEU,NOT
6499,뭐여,NON,NEU,NOT
6500,내용의 우울함을 덮을 만큼 신선한 영화. 실감과 연민의 영화,NON,POS,NOT
6501,왜 이렇게 항상 이런 모든 물가인상하는 것이 아주 많이 나쁘고 악하게 보일까요?! 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,NON,POS,NOT
6502,아기때  하루20시간까지  자다가 나이가  들어감에  따라  수면시간이 줄어든다 사람에 따라 다르겠지만  결국  줄어들기 마련이다 거기에 따라 질병이 늘어나고  사망에 이르거  아냐?  수면시간을  누가 마음대로  조절하나?  생명도 마찬가지 아냐?  수면시간이 준다는것은  점점 수명이 다되간다느거다  자연스럽게 받아 들여야 한다 이게  사람사는  이치다,NON,NEU,NOT
6503,돈 ㅈㄴ 잘버네 ㅋㅋㅋㅋㅋㅋㅋ 이정도면 할만하겠다 ㅋㅋㅌ,ABS,NEU,NOT
6504,좆물싸개들 ㅎㅇ??? ㅋㅋ,ABS,NEG,OFFEN
6505,39금은 뭐예요????,NON,NEU,NOT
6506,시ㅡ발 난 꿈에서도 일만 존나 하던데 꿈 꾸고 일나가면 ,ABS,NEG,LIKELY
6507,뭔일이지 요즘 가끔 맞추네..얼마전 소나기도 그렇고..서울 비 오는중..,NON,NEG,NOT
6508,cctv에 찍힌 심령...gif,NON,NEU,NOT
6509,대장암이 국내 발생 순위 4위일 정도로 흔한 암이며 배변의 상태로 알 수 있다니 모르고 있었네요. 과일을 적당히 먹어줌으로써 예방을 할 수 있다니 도움이 되었어요. 과일을 챙겨먹어야 겠어요.,NON,POS,NOT
6510,19) 여고생 알가슴,ABS,NEG,LIKELY
6511,실화를 바탕으로 한 일대기 영화 중 수작. 블랙 코미디까지..,NON,POS,NOT
6512,현대차노조부터 해체시켜야 유연성 유지될듯,NON,NEG,NOT
6513,VMC <ㅡㅡㅡ 개병신 새끼들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ABS,NEU,LIKELY
6514,미국식 개그,ABS,NEU,NOT
6515,현대차 귀족 노조는 케이팝 분야의 어디쯤 해당 될까?  모호하지?  비교가 잘못 되었다는 거야,NON,NEG,NOT
6516,세상에 찌들었다고 느낄 때마다 이 영화를 틀어 놓고 보내요.,NON,POS,NOT
6517,21호 사용해두 될것 같아요 23호가 생각보다 어둡더라구요,NON,POS,NOT
6518,진짜 씨발 퇴근언제하냐 애미 ,ABS,NEG,OFFEN
6519,오랜만에마음으로공감하며본드라마!,NON,POS,NOT
6520,힌편의 뮤지컬을 보는 느낌,NON,POS,NOT
6521,대깨문 여왕. 양희은이가 싫어요. 공산당이 싫어요.,ABS,NEG,OFFEN
6522,옛날 정미소가면 이맘때 즈음엔 밀방아도 찌었는데 물에 깨끗이 씻은 밀  말려서 빻으면 지금처럼 하얀 가루가 아닌 조금붉고 거친 밀가루가 나왔는데 지금 생각하면 그게  건강 밀가루!!!!,NON,POS,NOT
6523,아 씨발 개같네 ,ABS,NEG,OFFEN
6524,워낙에 레진에서도 재밌게 보는 작품 중 하나였는데 스팀게임으로도 있다는 소식을 뒤늦게 접하고 얼른 해봤는데 재밌네요.ㅎ 1화만 게임화 되었다 했는데 그 이후에 나올 인물들도 나오고 넘넘 재밌게 플레이 했어요!!ㅎ,NON,POS,NOT
6525,암내나는 근육맨새끼 머임 진심ㅇㅇ,ABS,NEG,LIKELY
6526,"케이팝모터스의 실체를 알려주마. 여기 자칭 회장 황요섭이라는 사람은 허위근무이력, 허위학력등으로 사기치고 다니는 사람이며, 네이버인물정보는 이사람에 대한 검증도 없이 그저 이사람이 주장한 학력을 그냥 인물정보에 등록시켜줌 (위조졸업장). 그러니까 오히려 더 기고만장하게 사기치고다님. 스탠포드출신이라는데 미국에서 산적도 없고 영어도 못쓰고 미국에서 사진한장 없는 인물. 스탠포드 동문회에 물어봤더니 이런사람 안다녔다고함. ㅋㅋㅋ 그리고 참고로 자기가 코리아타임스 편집국장출신이라고 허위 이력 프로필에올려놨다가 코리아타임스에서 소송거니까",NON,NEG,LIKELY
6527,아기 관종 레전드.gif,ABS,NEU,NOT
6528,노아주다 류현진닮음ㅋㅋ,NON,NEU,NOT
6529,짹카스 씨발 구만해,ABS,NEG,OFFEN
6530,니가 버렸어 ㅋㅋㅋㅋㅋㅋㅋㅋ,NON,NEU,NOT
6531,시발그냥없는사람취급하면안되나 ,ABS,NEG,LIKELY
6532,good good~ 일본 영화를 다시 보게 되네요^^,NON,POS,NOT
6533,북한 그지들한테 돈 쓰지마라 아까워 뒤지겠다,ABS,NEG,OFFEN
6534,오늘자 씹근본 래퍼,ABS,POS,NOT
6535,힙알못인 나는 요번 시즌 모르는 사람 많아서,NON,NEU,NOT
6536,한국사람이라면 한번쯤은 봐야하는 영화...,NON,POS,NOT
6537,그 유승민 딸래미는 요새 뭐 하냐 ㅋㅋ,NON,NEU,NOT
6538,야럼프 정신승리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,NON,NEU,NOT
6539,매트해서 너무 좋고 색상이 너무 마음에 들어요 발색 좋고 색상 오래 유지하고 너무너무 좋아요 3번째 구매 중이네 오,NON,POS,NOT
6540,증거  자료 있으니까  날조하지 마세요.,NON,NEU,NOT
6541,축약?    없는말을  썼으니 축약은 아니지.,NON,NEU,NOT
6542,또 자본주의 어쩌구 떠드는꼴을보니 좌파 문화인 또 한명 크게 키워보려고 기획 중이구나,NON,NEG,LIKELY
6543,이거봤냐들 씨발 19 걸었는데도 이지랄이냐,ABS,NEG,OFFEN
6544,개거품 잔뜩 낀  야구는  지상파에서  빼라,NON,NEG,LIKELY
6545,손혜원 1월1일에 정숙이 만난다했음 ,NON,NEU,NOT
6546,야한걸로는 성진국 일본 못 이김,NON,NEU,NOT
6547,대깨노를 감당할 자신있는 오너만 해봐라.,NON,NEG,LIKELY
6548,조신한 갓본녀 따먹을확률 몇임,ABS,NEG,LIKELY
6549,씨발 토한걸 왜찍어올리녀고 드러운새키들아진짜,ABS,NEG,OFFEN
6550,초간단앱인증 1분컷 2000,NON,NEU,NOT
6551, 색상도 좋고 발색 잘 됩니다 바르고 나서 좀 건조한 느낌이 있긴 하기만 발색 좋아서 잘 사용하고 있어요,NON,POS,NOT
6552,짤녀예쁘면 개추,ABS,NEU,NOT
6553,광기원탑은 언텔이지 시발ㅋㅋ,ABS,NEU,LIKELY
6554,클로바 축하해..,NON,POS,NOT
6555,옵션도 이야기 해햐지요 기자님?,NON,NEG,NOT
6556,진짜 아이폰 밸소리 존나 잘 만든거같다,ABS,NEG,LIKELY
6557,도대체 웅애웅 오조오억 얘기하는 기사는 하나도 없네. 그게 학심인데.,NON,NEG,NOT
6558,너무 재밋고 아이들은 이쁘고... 지금봐도 명작,NON,POS,NOT
6559,뭐 이런걸 기사로...?,NON,NEU,NOT
6560,설거지할거 많아서 좆나 귀찮다,ABS,NEG,LIKELY
6561,비온다며.. 아 ㅡㅡ 안나갔는데 코로나 땜에 집콕하게하려고하는 수작이냐?,NON,NEG,NOT
6562,인스타맞팔해줘ㅖㅏ ,NON,NEU,NOT
6563,스카이파크우째나란테이러냐시ㅡ발넘들아,ABS,NEG,LIKELY
6564,클놈은 그냥 계속 서로좋다고 개념글올리는게 좋을듯,ABS,NEU,LIKELY
6565,19세이상이 19세 이상 동영상을 보지 못하게 만든 읍읍 대통령,NON,NEU,NOT
6566,자연인? 자연인 같은 소리하네.당신같은 자연인은 말이야 머라하냐면 책임감 없는인간 이라고함.진짜 자연인을 더럽히지 마라.내가 자연인이다.,NON,NEG,LIKELY
6567,얘네 무슨 리듬파워냐시발 ㅋㅋㅋㅋ,ABS,NEU,LIKELY
6568,저거 김민주한테 발작하는거 트퀴아니고 장왈승퀴임,NON,NEU,NOT
6569,지코피셜) 케이 그새낀 안될 새끼다.,ABS,NEG,LIKELY
